Ideas/Concepts/Examples,Country of Implementation,uuid
,,882923f2-6661-449f-9fe7-84dbf34635e0
Ignitia,Global,af012d3c-19f0-4d79-b878-0826abbf8d34
InaSAFE Hazard Impact Scenario Software,Indonesia,d3dd41b3-3c4e-492f-90de-1f7b8d2871ab
Internet of Things for river flooding control,Colombia,faa33ec3-9a9c-4215-8053-8eff05d07fb1
IoT for Climate in Rwanda,Rwanda,66bbb286-4d13-4620-890b-8558c38106d9
Landslide Detection Squad,Australia,446c4183-df4f-454a-81f2-285d54fb7bc1
Low Cost Sensors for Pollution Monitoring,Global,790e0da6-9301-49c2-a8cd-af1b60aebf33
Map and monitor disease spreading,Colombia,cc011941-3e12-47f6-98cb-495e00f7385c
"Measuring, Mapping and Forecasting  Air Pollution",Belarus,b9ebc6d7-c062-449d-9caa-1f15442bbba9
Mobile4D Disaster Alert System,Lao People's Democratic Republic,7198c4e5-3833-4794-8453-cab5685f5b80
MobileAid,Malawi,ad4ef29a-ab70-47eb-91fe-440ee1d39af7
Monsoon Overflow,Global,542a8376-c406-4333-acb0-14806f950758
Monster Guard Kids Mobile Application,United States of America,4e3996a3-5b42-4793-83cb-a66f5fdc424f
Moskeet,India,14489e5d-f484-442d-bf37-06e6cc635ee4
Multi Hazard EWS,Global,dee8d169-bbaf-46f2-86b8-2a137599dc58
MyShake Earthquake Application,Global,2fe6a74d-b8cb-463c-a4cd-a0ad1627907b
Nepal Government Geo-Portal,Global,69dcb157-6ebe-4940-b826-97a3637a2fb6
NOAA Climate,United States of America,50dc8858-edb5-4740-9591-48d6a335b478
OroraTech,Global,f97e7839-d1c6-4df5-ac60-ca774d032282
Pakistan Disaster Info Portal,Pakistan,cd436473-4665-4709-8653-9cc515ae20a5
Philippines Nationwide Operational Assessment of Hazards (NOAH),Philippines,20a284b3-99b5-4a82-97a3-1194665c3e15
PRISM,Cambodia,cb7bca0e-3791-4b0f-9021-854efd3cd990
Quantifying Real-Time Rainfall Intensity in Bosnia and Herzegovina,Bosnia and Herzegovina,a861592e-d745-461c-97e8-b463e55157b2
Red Cross Implements Crypto To Boost Disaster-Prone Communities,"Kenya, Ethiopia",0c950f30-a142-4514-9367-5fa47ee6138e
Robotics for Good,Global,2c66d4b0-79d5-464d-b422-c1cdefcca177
Sai Fah Flood Game Application,Thailand,94865aaf-7318-421a-ae32-5c7b1db714be
Scaling-up multi-hazard early warning system and the use of climate information,Georgia,afa521cb-2cab-42d9-b222-5d6c14a0856d
SDGs Today,Global,94a8f057-bc3f-48d3-bc92-2b9fdd7d17ab
Sealr,Global,14783b05-562a-4285-8792-0ebeb4bc2c3b
SKAI Platform,Global,5f45dada-48bf-4558-8c07-5176ec781d91
South Asia Drought Monitoring System,"Bangladesh, India, Nepal, Pakistan, Sri Lanka",5d728a1e-43c5-48fe-b5a7-7fea73808783
Space-based Flood Monitoring to Support Disaster Risk Management,Sudan,8908e2b3-3d79-41d1-833e-76c925255bf4
Strong-motion seismograph networks(K-NET),Japan,16c38d46-a10a-407d-be14-1750d70cf416
Tanya Marlo,Indonesia,4ae88ed4-df50-43ea-8fc1-567090fe3b82
Terai Cross-Border Flood Early Warning System,"India, Nepal",3d7e7eaa-df4b-49bf-b072-a88242bc558c
The application framework of big data technology in the COVID-19 epidemic emergency management,China,b83260d2-7f08-4687-952b-839ff8ca5f5e
The Lockdown Learners Series,India,9bedba38-eb1e-4766-8e89-05218e51df24
The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI),Global,6b1cee89-affb-4142-8d3d-c93f5321828b
The Tsunami & Earthquake Fighter Game,Global,af7febd6-de77-4915-9e2e-5821c96b6546
The UN Biodiversity Lab,Global,3dae69ef-a416-4578-91c3-7f52b78ddb25
ThinkHazard! Hazard Data Portal,Global,3080c70d-4f70-4572-932f-22891de5fa4d
Thinking Machines Data Science,Singapore,0bb2b310-299a-4b37-a7c6-942cf4ab0874
Twitter during the Chennai flood,India,355a1bd6-479a-49f0-87c8-d5d43ef305c6
UN Biodiversity Lab,Global,af19185c-9a05-435d-af60-97269db882b5
UN Pilot In Mongolia Uses Blockchain To Help Farmers Deliver Sustainable Cashmere,Mongolia,cb25c783-b039-4702-8121-1794c0227538
Understanding Population Movement After the 2018 Central Sulawesi Natural Disasters,Indonesia,622b8efb-f913-41c0-996e-958aa44e17a3
Ushahidi Platform,Global,f08570c1-d591-42c1-a656-4c16db018bfa
Using AI to better understand natural hazards and disasters,Global,cc869a56-e390-4afa-97e2-fa5376dc17ec
Using ground sensor technology to detect earthquakes,United States of America,3eca503f-a700-4838-8757-b1d9141c446b
Volcanoes & Earthquakes Application,Global,b32c034c-16ff-4694-882c-984c64aae6c4
WG5 Geo-AI,Global,6cbd50b9-2837-45cc-ad9b-11f74b70accf
Zzapp Malaria,Global,b83260d2-7f08-4687-952b-839ff8ca5f5e
