"title","description","theme","use_case","status","disaster_cycle","technology","disaster_type","region","subregion","country","partner","un_host","data","sdg","date_of_implementation","source","img_url","id","uuid","created_at","updated_at"
"C Bot ChatBot ","AI-based chatboat assists Georgian businesses and the more than 125,000 residents of Rustavi by keeping them informed about city services, new regulations, and steps to take to cope with coronavirus challenges without leaving their homes.","Pandemic/Epidemic","Emergency communications","production","recovery","Chatbot,Artificial Intelligence,Natural Language Processing","Pandemic/Epidemic","Asia","Western Asia","Georgia","Rustavi Innovations Hub,Rustavi Municipality,EU4Business","UNDP,UNDP Georgia","Text Data","SDG 3","2020","https://eu4georgia.ge/c-bot-chatbot-with-ai-keeps-georgian-business-informed-during-pandemic/","https://eu4georgia.eu/wp-content/themes/yootheme/cache/Banner_-01-729de3fc.jpeg","11","23e7c9dd-a64a-4a2c-8864-0a6fc52eae6d","2023-07-11T09:14:24.363184+00:00",""
"C Bot ChatBot ","AI-based chatboat assists Georgian businesses and the more than 125,000 residents of Rustavi by keeping them informed about city services, new regulations, and steps to take to cope with coronavirus challenges without leaving their homes.","Pandemic/Epidemic","Emergency communications","production","response","Chatbot,Artificial Intelligence,Natural Language Processing","Pandemic/Epidemic","Asia","Western Asia","Georgia","Rustavi Innovations Hub,Rustavi Municipality,EU4Business","UNDP,UNDP Georgia","Text Data","SDG 3","2020","https://eu4georgia.ge/c-bot-chatbot-with-ai-keeps-georgian-business-informed-during-pandemic/","https://eu4georgia.eu/wp-content/themes/yootheme/cache/Banner_-01-729de3fc.jpeg","12","2fe0de7e-99ff-448b-89fb-ed4c1252ba7b","2023-07-11T09:14:24.363184+00:00",""
"C Bot ChatBot ","AI-based chatboat assists Georgian businesses and the more than 125,000 residents of Rustavi by keeping them informed about city services, new regulations, and steps to take to cope with coronavirus challenges without leaving their homes.","Pandemic/Epidemic","Emergency communications","production","mitigation","Chatbot,Artificial Intelligence,Natural Language Processing","Pandemic/Epidemic","Asia","Western Asia","Georgia","Rustavi Innovations Hub,Rustavi Municipality,EU4Business","UNDP,UNDP Georgia","Text Data","SDG 3","2020","https://eu4georgia.ge/c-bot-chatbot-with-ai-keeps-georgian-business-informed-during-pandemic/","https://eu4georgia.eu/wp-content/themes/yootheme/cache/Banner_-01-729de3fc.jpeg","13","c03c7d6f-deb2-4a48-aa2f-600a9cf9d3b7","2023-07-11T09:14:24.363184+00:00",""
"AgroVision","High-density cities face the challenge of food security given little areas suitable for growing food but urban farms also have the challenges such as the incursion of pest and disease in agriculture. The project (finalist of Hackathon) provides a  solution of integrated farm health management tool that leverages machine learning and IoT to improve the yield and quality of crops from urban farms in high-density cities. The system collects the information on the plants health and its environment, which allows farmers to manage pests and diseases better.","Agriculture","Situational awareness/actionable information gathering","prototype","mitigation ","Machine Learning,Internet of Things","Droughts","Asia","South-eastern Asia","Singapore","Microsoft Asia Pacific","Singapore Global Center for Technology,Innovation and Sustainable Development","None","SDG 12","2020","https://sgtechcentre.undp.org/content/sgtechcentre/en/home/blogs/microsoft-azure-hackathon-with-undp-and-grab-press-release.html","https://sgtechcentre.undp.org/content/dam/gctisd/images/Microsoft%20PR%20Azure%20Photo.jpeg","14","c408fe06-6b20-4ee6-a3d6-14d20b618f95","2023-07-11T09:14:24.363184+00:00",""
"Ecuador: Mitigating Deforestation through Sustainable Cattle Raising","In 2017, a coalition of stakeholders including UNDP and the Ecuadorian Ministries of Environment and Agriculture launched the PROAmazonia initiative, an ambitious, five-year project that aims to transform the agriculture and forestry sectors in the Amazon region. Part of this ambition is to reduce CO2 emissions by mitigating deforestation in the Ecuadorian Amazon through the promotion of sustainable land-use that does not require cutting down additional forest for local agriculture. Our DPPD team members from GIZ Ecuador are working with the Ecuadorian Ministry of Environment and Water to implement its national bioeconomy strategy for the protection and sustainable use of biodiversity by developing socially, economically, and ecologically sustainable solutions. Agricultural practices are one of the main causes of deforestation in the Ecuadorian Amazon. 99% of deforested areas are transformed into agricultural fields, and 64.9% of these are used as grassland for livestock.development challenges they face.","Agriculture","Situational awareness/actionable information gathering","prototype","mitigation ","Remote Sensing","Droughts","Americas","South America","Ecuador","Ecuadorian Ministries of Environment","UNDP","Spatial Data","SDG 15","2017","https://medium.com/@acclabs/positive-deviance-positive-outliers-matter-a323f7f5b13e","https://miro.medium.com/max/1400/1*mA24nNw45r_aN1d2o0JRTg.png","15","b590a5f1-66ed-4697-b50e-41a2b4154f6f","2023-07-11T09:14:24.363184+00:00",""
"Data Visualization for Household and Building Damage Assessment","UNDP has developed a toolkit to support authorities in crisis-affected countries around the world, to assess residential and non-residential infrastructure and collect timely data to inform decisions. The toolkit will also inform prioritization for risk-informed rehabilitation and rebuilding.","Disaster Risk Management","Damage and loss assessment","production","recovery","Geographical Information Systems,Drones","Various","Global","Global","Global","UNDP,UNDP Crisis Bureau","UNDP","Spatial Data","SDG 9","2017","https://www.undp.org/content/buildingdamageassessment/en/home.html","https://www1.undp.org/content/dam/building-damage-assessment/img/undp-bb-bda-pic23-2019.PNG","16","2bfe4fe4-8f6c-4603-97ef-ac6c9cd227fd","2023-07-11T09:14:24.363184+00:00",""
"DisasterAWARE Pro","Humanitarian risk intelligence platform that serves the early warning and decision support needs of the public, governments, and NGOs around the world","Disaster Risk Management,Early Warning","Early Warning System","production","response","Geographical Information Systems,Remote Sensing","Various","Global","Global","Global","WFP,WHO,UNICEF,UNDRR,UN Women,US Government,USAID,NASA,and hundreds of international partners","DRR","Spatial Data,Mobile Network Data,Text Data","SDG 3,SDG 13","2023","https://www.pdc.org/disasteraware","https://www.pdc.org/wp-content/uploads/PDCLogo.svg","148","08151da2-13ab-478a-8b02-52a26e9a1f3a","2023-07-11T09:14:28.714411+00:00",""
"Drones for Social Good","Climate change and its consequences are becoming more evident. Erosion, tsunami hazard, and rising sea levels threaten the Maldives. UNDP and the Government of Maldives used drones for creating risk maps which provide essential data required to inform emergency response plans in case of disasters. ","Disaster Risk Management","Disaster Relief logistic/resource allocation ","production","response","Drones","Floods","Asia","Southern Asia","Maldives","DJI (the leading drone company from China),Maldives National Disaster Management Centre,the Maldives National Defence Force","UNDP,UNDP Maldives","Spatial Data","SDG 9,SDG 13,SDG 15,SDG 17","2017","https://stories.undp.org/drones-for-social-good","https://www.unicef.org/innovation/sites/unicef.org.innovation/files/styles/two_column/public/UN0265425_1.jpg?itok=8qmoy5kY","17","8a34dba7-27a0-4a24-bded-e155ae18fd89","2023-07-11T09:14:24.363184+00:00",""
"Multi Hazard EWS","The report firstly mentioned theoretical tools to understand the legal and institutional framework needed for the early warning process. In the second part of the report, a catalog of practical solutions and five intervention areas are mentioned. Five intervention areas are: 1. Institutions, regulations, and capacity development, 2. Technological solutions, 3. Community outreach and community-based solutions, 4. Private sector engagement, 5. International Co-operation and Data-sharing. ","Disaster Risk Management ,EWS","Disaster assessment/prediction and early warning systems","production","preparedness","Geographical Information Systems,Data Collection,Data Analysis,Web mapping","Various","Global","Global","Global","UNDP,UNDP country offices,International organisations,Nongovernmental organisations,Governments,Civil Society Organisat","UNDP,UNDP Serbia","Spatial Data","SDG 13","2019","https://www.eurasia.undp.org/content/rbec/en/home/library/environment_energy/five-approaches-to-build-functional-early-warning-systems.html","https://climateadaptationplatform.com/wp-content/uploads/2021/04/climate-adaptation-early-warning-systems-UN.jpg","18","524f445d-bee2-437b-a942-bb00c11305f3","2023-07-11T09:14:24.363184+00:00",""
"Data Visualization of COVID-19's Impact on Food Supply Chains","An explanation for Data visualization of COVID19 impact on food supply chains","Disaster Risk Management ,EWS","Disaster Relief logistic/resource allocation ","validation ","preparedness","Data collection,Data Analysis","Pandemic/Epidemic","Africa","Eastern Africa","Zimbabwe","UNDP","UNDP,UNDP Zimbabwe","Spatial Data","No Information","2021","https://www.youtube.com/watch?v=j93sng3fVaQ","https://yt3.ggpht.com/ytc/AMLnZu_9XrWkDUB4_CBK_ePWUOd9QQSbB5DyHuRghSXC=s88-c-k-c0x00ffffff-no-rj","19","79ca43a2-160c-4dbc-ac06-325f58c1d371","2023-07-11T09:14:24.363184+00:00",""
"UN Pilot In Mongolia Uses Blockchain To Help Farmers Deliver Sustainable Cashmere","Grazing lands are rapidly degrading, threatening the viability of the entire cashmere industry. The quality of cashmere is decreasing in Mongolia, due in part to climate change. Blockchain technology is used to interact with herders and cooperatives to help sustainable supply chain tracking. ","Agriculture","Disaster Relief logistic/resource allocation ","production","mitigation","Blockchain","Various","Asia","Eastern Asia","Mongolia","Covergence.tech","UNDP","RFID (Radio-frequency identification)","SDG 12","2019","https://www.forbes.com/sites/rogerhuang/2019/12/28/un-pilot-in-mongolia-uses-blockchain-to-help-farmers-deliver-sustainable-cashmere/?sh=3cd43e6217d9","https://imageio.forbes.com/specials-images/imageserve/5e075c2925ab5d0007cf6a62/Two-young-Mongolian-children-play-with-the-goats-that-provide-cashmere-/960x0.jpg?fit=bounds&format=jpg&width=960","20","372b8daa-ee76-460d-870c-5343287b5b1e","2023-07-11T09:14:24.363184+00:00",""
"Red Cross Implements Crypto To Boost Disaster-Prone Communities","The Red Cross societies of Norway, Denmark and Kenya launched a two-year effort to help solve this lack of hard cash by deploying blockchain-backed local currencies to smooth trade in communities and spur economic activity.","Humanitarian aid","Disaster Relief logistic/resource allocation ","production","response","Blockchain","Various","Africa","Eastern Africa","Kenya,Ethiopia","Grassroots Economics,Red Cross societies of Norway,Denmark","None","Text Data,Numerical Data","SDG 2","2019","https://www.forbes.com/sites/darrynpollock/2019/11/28/red-cross-implements-crypto-to-boost-disaster-prone-communities/?sh=2d7696cb48e2","https://imageio.forbes.com/specials-images/imageserve/1163318612/Aid-organisations-inform-about-the-condition-of-their-equipment/960x0.jpg?fit=bounds&format=jpg&width=960","21","3038aa54-711d-4145-9bdd-de9b4d3ac5f4","2023-07-11T09:14:24.363184+00:00",""
"Blockchain Records for Refugees","World Bank estimates that 1/6 of the world's population cannot legally prove their identity. These are not only refugees but also large swaths of the poor. The only solution to the problem of lack of documentation is preventative: governments, educational institutions, companies, and other organizations worldwide must begin issuing official records in a format that is permanent, portable, easily recoverable, and individual-owned long before a catastrophe occurs. Governments, international organizations, NGOs, etc. should ensure that refugees from future disasters have reliable, portable documentation is to begin issuing official records to the blockchain.","Situational awareness,Improved organizational efficiency","Situational awareness/actionable information gathering","production","mitigation ","Blockchain","Various","Asia,Africa","Western Asia,Middle Africa,Northern Africa","Syrian Arab Republic,Central African Republic,Sudan","World Bank's ID4D,","UNHCR","Text Data","SDG 16","2017","https://medium.com/learning-machine-blog/blockchain-records-for-refugees-bd27ad6e6da1","https://miro.medium.com/max/1400/1*0SiIZzXBGpWlUn9b2h81gQ.png","22","f5ea84cd-9afc-4d86-8920-62f29d0127d1","2023-07-11T09:14:24.363184+00:00",""
"D-MOSS","Dengue fever early warning system","Disaster Risk Management,Early Warning","Early Warning System","production","preparedness","Data Collection,Web mapping","Pandemic/Epidemic","Asia","Southern Asia","Sri Lanka","UNDP,UNDP Vietnam,UK Space Agency's International Partnership Programme","UNDP","Numerical Data","SDG 3","2022","https://www.hrwallingford.com/projects/d-moss-dengue-forecasting-model-satellite-based-system","https://www.hrwallingford.com/themes/custom/hrwallingford/logo.png","176","be53f18a-8b4f-4743-b744-450a9bae0cba","2023-07-11T09:14:28.714411+00:00",""
"Forecasting asylum-related migration flows with machine learning and data at scale","Information is presented on an adaptive machine learning algorithm that broadly integrates administrative statistics and non-traditional data sources to effectively predict asylum-related migration flows. The project focus on asylum applications lodged in countries of the European Union (EU) by nationals of all countries of origin worldwide. The project aims is to increase the preparedness of EU Member States for sudden increases in asylum applications in order to process them quickly and fairly; while also foreseeing proper reception conditions in line with EU law.","Humanitarian aid","Disaster assessment/prediction and early warning systems","validation ","preparedness","Machine Learning,Big Data","Various","Europe","Eastern Europe,Southern Europe,Northern Europe,Western Europe","EU countries","European Union Agency for Asylum (EUAA),the European Commission (Joint Research Centre) and University of Catania","None","Text Data","SDG 10","2022","https://reliefweb.int/report/world/forecasting-asylum-related-migration-flows-machine-learning-and-data-scale","https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41598-022-05241-8/MediaObjects/41598_2022_5241_Fig4_HTML.png","23","d1eeaf6f-9cf3-431c-9274-0e908274a892","2023-07-11T09:14:24.363184+00:00",""
"The application framework of big data technology in the COVID-19 epidemic emergency management","COVID-19 spreaded globally, traditional emergency management measures faced many practical limitations. In China the application of big data analysis technology provides an opportunity for local governments to conduct the COVID-19 epidemic emergency management more scientifically. China-Hainan Province adopted big data technology during the four stages, i.e., migration, preparedness, response, and recovery, of its COVID-19 epidemic emergency management. The project demonstrated that the roles, governance networks and mechanisms used by the legislative branch, government agencies and social organizations of Hainan Province and verified the feasibility and value of the application framework of big data technology to support their collective response to the COVID-19 epidemic.","Health","Situational awareness/actionable information gathering","production","preparedness","Big data,Internet of Things","Pandemic/Epidemic","Asia","Eastern Asia","China","The National Disaster Reduction Center of China (NDRCC)","None","Spatial Data","SDG 3","2021","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-12065-0","https://www.researchgate.net/publication/355914464/figure/fig1/AS:1086503904124933@1636054125269/Application-of-big-data-technology-in-COVID-19-epidemic-emergency-management-in-Hainan.png","24","085d4b2b-1e0c-43f8-acfd-8aa8225a58c0","2023-07-11T09:14:24.363184+00:00",""
"The application framework of big data technology in the COVID-19 epidemic emergency management","COVID-19 spreaded globally, traditional emergency management measures faced many practical limitations. In China the application of big data analysis technology provides an opportunity for local governments to conduct the COVID-19 epidemic emergency management more scientifically. China-Hainan Province adopted big data technology during the four stages, i.e., migration, preparedness, response, and recovery, of its COVID-19 epidemic emergency management. The project demonstrated that the roles, governance networks and mechanisms used by the legislative branch, government agencies and social organizations of Hainan Province and verified the feasibility and value of the application framework of big data technology to support their collective response to the COVID-19 epidemic.","Health","Situational awareness/actionable information gathering","production","recovery","Big data,Internet of Things","Pandemic/Epidemic","Asia","Eastern Asia","China","The National Disaster Reduction Center of China (NDRCC)","None","Spatial Data","SDG 3","2021","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-12065-0","https://www.researchgate.net/publication/355914464/figure/fig1/AS:1086503904124933@1636054125269/Application-of-big-data-technology-in-COVID-19-epidemic-emergency-management-in-Hainan.png","25","9b9ec195-368e-4fe0-bb7b-eba006dc88c8","2023-07-11T09:14:24.363184+00:00",""
"The application framework of big data technology in the COVID-19 epidemic emergency management","COVID-19 spreaded globally, traditional emergency management measures faced many practical limitations. In China the application of big data analysis technology provides an opportunity for local governments to conduct the COVID-19 epidemic emergency management more scientifically. China-Hainan Province adopted big data technology during the four stages, i.e., migration, preparedness, response, and recovery, of its COVID-19 epidemic emergency management. The project demonstrated that the roles, governance networks and mechanisms used by the legislative branch, government agencies and social organizations of Hainan Province and verified the feasibility and value of the application framework of big data technology to support their collective response to the COVID-19 epidemic.","Health","Situational awareness/actionable information gathering","production","response","Big data,Internet of Things","Pandemic/Epidemic","Asia","Eastern Asia","China","The National Disaster Reduction Center of China (NDRCC)","None","Spatial Data","SDG 3","2021","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-12065-0","https://www.researchgate.net/publication/355914464/figure/fig1/AS:1086503904124933@1636054125269/Application-of-big-data-technology-in-COVID-19-epidemic-emergency-management-in-Hainan.png","26","97753c61-e666-427e-b903-aa1eafba59c0","2023-07-11T09:14:24.363184+00:00",""
"Space-based Flood Monitoring to Support Disaster Risk Management","Floods lead to the highest number of people affected compared to other disasters as they affect human activities and the economy. Sudan was affected due to large floods partly caused by torrential rainfall in the Ethiopian Highlands. In the case of the Sudanese flood event, a timely response is needed for stakeholders to assess the situation. High resolution monitoring helps to identify areas at risk and information on the people and cropland. Geospatial analysis was conducted based on the identified floods areas. ","Disaster Risk Management,EWS","Disaster detection","production","response","Web mapping,Geographical Information Systems,Remote sensing","Floods","Africa","Northern Africa","Sudan","Ministry of Agriculture and Natural Resources of Sudan","UNOOSA (The United Nations Office for Outer Space Affairs)","Spatial Data","SDG 1,SDG 2,SDG 13,SDG 15","2020","https://www.space4water.org/news/floods-sudan-space-based-flood-monitoring-support-disaster-risk-management ","https://www.space4water.org/s4w/web/sites/default/files/inline-images/MainImage_PleiadesbyCNES160820.jpg","32","7feb6f31-8163-44cd-9b71-741b0d482eff","2023-07-11T09:14:24.363184+00:00",""
"The application framework of big data technology in the COVID-19 epidemic emergency management","COVID-19 spreaded globally, traditional emergency management measures faced many practical limitations. In China the application of big data analysis technology provides an opportunity for local governments to conduct the COVID-19 epidemic emergency management more scientifically. China-Hainan Province adopted big data technology during the four stages, i.e., migration, preparedness, response, and recovery, of its COVID-19 epidemic emergency management. The project demonstrated that the roles, governance networks and mechanisms used by the legislative branch, government agencies and social organizations of Hainan Province and verified the feasibility and value of the application framework of big data technology to support their collective response to the COVID-19 epidemic.","Health","Situational awareness/actionable information gathering","production","mitigation","Big data,Internet of Things","Pandemic/Epidemic","Asia","Eastern Asia","China","The National Disaster Reduction Center of China (NDRCC)","None","Spatial Data","SDG 3","2021","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-12065-0","https://www.researchgate.net/publication/355914464/figure/fig1/AS:1086503904124933@1636054125269/Application-of-big-data-technology-in-COVID-19-epidemic-emergency-management-in-Hainan.png","27","b2d4b88b-6440-467e-89b2-9ba5be88c256","2023-07-11T09:14:24.363184+00:00",""
