,Ideas/Concepts/Examples,Description,Theme,Use Case,Status/Maturity,Disaster Cycle,Technology,Disaster Type,Region,Country of Implementation,Supporting Partners,Un Host Organisation,Data,SDG,Date of Implementation,Source,imgurl
13,Empowering Innovation in Urban Agriculture with Microsoft Azure: AgroVision,"High-density cities face the challenge of food security given little areas suitable for growing food but urban farms also have the challenges such as the incursion of pest and disease in agriculture. The project (finalist of Hackathon) provides a  solution of integrated farm health management tool that leverages machine learning and IoT to improve the yield and quality of crops from urban farms in high-density cities. The system collects the information on the plants health and its environment, which allows farmers to manage pests and diseases better.",Agriculture,Situational awareness/actionable information gathering ,prototype,mitigation ,"Machine Learning, Internet of Things",Droughts,Asia,Singapore,Microsoft Asia Pacific,"Singapore Global Center for Technology, Innovation and Sustainable Development",No Information,SDG 12,2020,https://sgtechcentre.undp.org/content/sgtechcentre/en/home/blogs/microsoft-azure-hackathon-with-undp-and-grab-press-release.html,https://sgtechcentre.undp.org/content/dam/gctisd/images/Microsoft%20PR%20Azure%20Photo.jpeg
14,Ecuador: Mitigating Deforestation through Sustainable Cattle Raising,"In 2017, a coalition of stakeholders including UNDP and the Ecuadorian Ministries of Environment and Agriculture launched the PROAmazonia initiative, an ambitious, five-year project that aims to transform the agriculture and forestry sectors in the Amazon region. Part of this ambition is to reduce CO2 emissions by mitigating deforestation in the Ecuadorian Amazon through the promotion of sustainable land-use that does not require cutting down additional forest for local agriculture. Our DPPD team members from GIZ Ecuador are working with the Ecuadorian Ministry of Environment and Water to implement its national bioeconomy strategy for the protection and sustainable use of biodiversity by developing socially, economically, and ecologically sustainable solutions.

Agricultural practices are one of the main causes of deforestation in the Ecuadorian Amazon. 99% of deforested areas are transformed into agricultural fields, and 64.9% of these are used as grassland for livestock.development challenges they face.",Agriculture,Situational awareness/actionable information gathering ,prototype,mitigation ,Remote Sensing,Droughts,Americas,Ecuador,Ecuadorian Ministries of Environment,UNDP,Spatial Data,SDG 15,2017,https://medium.com/@acclabs/positive-deviance-positive-outliers-matter-a323f7f5b13e,https://miro.medium.com/max/1400/1*mA24nNw45r_aN1d2o0JRTg.png
15,Integrated Digital Assessments: Data Visualization for Household and Building Damage Assessment,"UNDP has developed a toolkit to support authorities in crisis-affected countries around the world, to assess residential and non-residential infrastructure and collect timely data to inform decisions. The toolkit will also inform prioritization for risk-informed rehabilitation and rebuilding.",Disaster Risk Management ,Damage and loss assessment ,production,recovery,"Geographical Information Systems, Drones",Various,Global ,Global,UNDP Crisis Bureau,UNDP,Spatial Data,SDG 9,2017,https://www.undp.org/content/buildingdamageassessment/en/home.html,https://www.undp.org/content/buildingdamageassessment/en/home.html
16,Drones for Social Good,"Climate change and its consequences are becoming more evident. Erosion, tsunami hazard, and rising sea levels threaten the Maldives. UNDP and the Government of Maldives used drones for creating risk maps which provide essential data required to inform emergency response plans in case of disasters. ",Disaster Risk Management,Disaster relief logistic/resource allocation ,production,response,Drones,Floods,Asia,Maldives,"DJI (the leading drone company from China), Maldives National Disaster Management Centre, the Maldives National Defence Force",UNDP Maldives,Spatial Data,"SDG 9, SDG 13, SDG 15, SDG 17",2017,https://stories.undp.org/drones-for-social-good,https://www.unicef.org/innovation/sites/unicef.org.innovation/files/styles/two_column/public/UN0265425_1.jpg?itok=8qmoy5kY
17,Multi Hazard EWS,"The report firstly mentioned theoretical tools to understand the legal and institutional framework needed for the early warning process. In the second part of the report, a catalog of practical solutions and five intervention areas are mentioned. Five intervention areas are: 

1. Institutions, regulations, and capacity development, 2. Technological solutions, 3. Community outreach and community-based solutions, 4. Private sector engagement, 5. International Co-operation and Data-sharing. ","Disaster Risk Management , EWS",Disaster assessment/prediction and early warning systems ,production,preparedness,"Geographical Information Systems, Data Collection, Data Analysis, Web mapping",Various,Global ,Global ,"UNDP country offices, International organisations, Nongov­ernmental organisations, Governments, Civil Society Organisations",UNDP Serbia,Spatial Data,SDG 13,2019,https://www.eurasia.undp.org/content/rbec/en/home/library/environment_energy/five-approaches-to-build-functional-early-warning-systems.html,https://climateadaptationplatform.com/wp-content/uploads/2021/04/climate-adaptation-early-warning-systems-UN.jpg
18,Data Visualization of COVID-19's Impact on Food Supply Chains,An explanation for Data visualization of COVID19 impact on food supply chains,"Disaster Risk Management , EWS",Disaster relief logistic/resource allocation ,validation ,preparedness,"Data collection, Data Analysis",Pandemic/Epidemic,Africa,Zimbabwe,UNDP,UNDP Zimbabwe,Spatial Data,No Information,2021,https://www.youtube.com/watch?v=j93sng3fVaQ,collected
19,UN Pilot In Mongolia Uses Blockchain To Help Farmers Deliver Sustainable Cashmere,"Grazing lands are rapidly degrading, threatening the viability of the entire cashmere industry. The quality of cashmere is decreasing in Mongolia, due in part to climate change. Blockchain technology is used to interact with herders and cooperatives to help sustainable supply chain tracking. ",Agriculture,Disaster relief logistic/resource allocation ,production,mitigation ,Blockchain,Various,Asia,Mongolia,Covergence.tech,UNDP,RFID (Radio-frequency identification),SDG 12,2019,https://www.forbes.com/sites/rogerhuang/2019/12/28/un-pilot-in-mongolia-uses-blockchain-to-help-farmers-deliver-sustainable-cashmere/?sh=3cd43e6217d9,https://imageio.forbes.com/specials-images/imageserve/5e075c2925ab5d0007cf6a62/Two-young-Mongolian-children-play-with-the-goats-that-provide-cashmere-/960x0.jpg?fit=bounds&format=jpg&width=960
20,Red Cross Implements Crypto To Boost Disaster-Prone Communities,"The Red Cross societies of Norway, Denmark and Kenya launched a two-year effort to help solve this lack of hard cash by deploying blockchain-backed “local currencies” to smooth trade in communities and spur economic activity.",Humanitarian aid,Disaster relief logistic/resource allocation ,production,response,Blockchain,Various,Africa,"Kenya, Ethiopia","Grassroots Economics,Red Cross societies of Norway, Denmark ",None,"Text Data, Numerical Data",SDG 2,2019,https://www.forbes.com/sites/darrynpollock/2019/11/28/red-cross-implements-crypto-to-boost-disaster-prone-communities/?sh=2d7696cb48e2,https://imageio.forbes.com/specials-images/imageserve/1163318612/Aid-organisations-inform-about-the-condition-of-their-equipment/960x0.jpg?fit=bounds&format=jpg&width=960
21,Blockchain Records for Refugees,"World Bank estimates that 1/6 of the world’s population cannot legally prove their identity. These are not only refugees but also large swaths of the poor. The only solution to the problem of lack of documentation is preventative: governments, educational institutions, companies, and other organizations worldwide must begin issuing official records in a format that is permanent, portable, easily recoverable, and individual-owned — long before a catastrophe occurs. Governments, international organizations, NGOs, etc. should ensure that refugees from future disasters have reliable, portable documentation is to begin issuing official records to the blockchain.","Situational awareness, Improved organizational efficiency",Situational awareness/actionable information gathering ,production,mitigation ,Blockchain,Various,"Asia, Africa","Syria, Central African Republic, Sudan","World Bank’s ID4D, UNHCR",UNHCR,Text Data,SDG 16,2017,https://medium.com/learning-machine-blog/blockchain-records-for-refugees-bd27ad6e6da1,https://miro.medium.com/max/1400/1*0SiIZzXBGpWlUn9b2h81gQ.png
22,Forecasting asylum-related migration flows with machine learning and data at scale,Information is presented on an adaptive machine learning algorithm that broadly integrates administrative statistics and non-traditional data sources to effectively predict asylum-related migration flows. The project focus on asylum applications lodged in countries of the European Union (EU) by nationals of all countries of origin worldwide. The project aims is to increase the preparedness of EU Member States for sudden increases in asylum applications in order to process them quickly and fairly; while also foreseeing proper reception conditions in line with EU law.,Humanitarian aid,Disaster assessment/prediction and early warning systems ,validation ,preparedness,"Machine Learning, Big Data",Various,Europe,EU countries,"European Union Agency for Asylum (EUAA), the European Commission (Joint Research Centre) and University of Catania",None,Text Data,SDG 10,2022,https://reliefweb.int/report/world/forecasting-asylum-related-migration-flows-machine-learning-and-data-scale,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41598-022-05241-8/MediaObjects/41598_2022_5241_Fig4_HTML.png
23,"The application framework of big data technology in the COVID-19 epidemic emergency management in local government—a case study of Hainan Province, China","COVID-19 spreaded globally, traditional emergency management measures faced many practical limitations. In China the application of big data analysis technology provides an opportunity for local governments to conduct the COVID-19 epidemic emergency management more scientifically. China-Hainan Province adopted big data technology during the four stages, i.e., migration, preparedness, response, and recovery, of its COVID-19 epidemic emergency management. The project demonstrated that the roles, governance networks and mechanisms used by the legislative branch, government agencies and social organizations of Hainan Province and verified the feasibility and value of the application framework of big data technology to support their collective response to the COVID-19 epidemic.",Health,Situational awareness/actionable information gathering ,production,preparedness,"Big data, Internet of Things",Pandemic/Epidemic,Asia,China,The National Disaster Reduction Center of China (NDRCC),None,Spatial Data,SDG 3,2021,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-12065-0,https://www.researchgate.net/publication/355914464/figure/fig1/AS:1086503904124933@1636054125269/Application-of-big-data-technology-in-COVID-19-epidemic-emergency-management-in-Hainan.png
24,"The application framework of big data technology in the COVID-19 epidemic emergency management in local government—a case study of Hainan Province, China","COVID-19 spreaded globally, traditional emergency management measures faced many practical limitations. In China the application of big data analysis technology provides an opportunity for local governments to conduct the COVID-19 epidemic emergency management more scientifically. China-Hainan Province adopted big data technology during the four stages, i.e., migration, preparedness, response, and recovery, of its COVID-19 epidemic emergency management. The project demonstrated that the roles, governance networks and mechanisms used by the legislative branch, government agencies and social organizations of Hainan Province and verified the feasibility and value of the application framework of big data technology to support their collective response to the COVID-19 epidemic.",Health,Situational awareness/actionable information gathering ,production,recovery,"Big data, Internet of Things",Pandemic/Epidemic,Asia,China,The National Disaster Reduction Center of China (NDRCC),None,Spatial Data,SDG 3,2021,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-12065-0,https://www.researchgate.net/publication/355914464/figure/fig1/AS:1086503904124933@1636054125269/Application-of-big-data-technology-in-COVID-19-epidemic-emergency-management-in-Hainan.png
25,"The application framework of big data technology in the COVID-19 epidemic emergency management in local government—a case study of Hainan Province, China","COVID-19 spreaded globally, traditional emergency management measures faced many practical limitations. In China the application of big data analysis technology provides an opportunity for local governments to conduct the COVID-19 epidemic emergency management more scientifically. China-Hainan Province adopted big data technology during the four stages, i.e., migration, preparedness, response, and recovery, of its COVID-19 epidemic emergency management. The project demonstrated that the roles, governance networks and mechanisms used by the legislative branch, government agencies and social organizations of Hainan Province and verified the feasibility and value of the application framework of big data technology to support their collective response to the COVID-19 epidemic.",Health,Situational awareness/actionable information gathering ,production,response,"Big data, Internet of Things",Pandemic/Epidemic,Asia,China,The National Disaster Reduction Center of China (NDRCC),None,Spatial Data,SDG 3,2021,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-12065-0,https://www.researchgate.net/publication/355914464/figure/fig1/AS:1086503904124933@1636054125269/Application-of-big-data-technology-in-COVID-19-epidemic-emergency-management-in-Hainan.png
26,"The application framework of big data technology in the COVID-19 epidemic emergency management in local government—a case study of Hainan Province, China","COVID-19 spreaded globally, traditional emergency management measures faced many practical limitations. In China the application of big data analysis technology provides an opportunity for local governments to conduct the COVID-19 epidemic emergency management more scientifically. China-Hainan Province adopted big data technology during the four stages, i.e., migration, preparedness, response, and recovery, of its COVID-19 epidemic emergency management. The project demonstrated that the roles, governance networks and mechanisms used by the legislative branch, government agencies and social organizations of Hainan Province and verified the feasibility and value of the application framework of big data technology to support their collective response to the COVID-19 epidemic.",Health,Situational awareness/actionable information gathering ,production,mitigation,"Big data, Internet of Things",Pandemic/Epidemic,Asia,China,The National Disaster Reduction Center of China (NDRCC),None,Spatial Data,SDG 3,2021,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-12065-0,https://www.researchgate.net/publication/355914464/figure/fig1/AS:1086503904124933@1636054125269/Application-of-big-data-technology-in-COVID-19-epidemic-emergency-management-in-Hainan.png
27,4W-Wizard: AI Is Magical Tool For Faster Disaster Relief,"This social-impact program ""4W-Wizard"" was designed to speed up disaster management efforts. The program instantly categorizes and classify huge datasets. Regardless of how NGOs and other relief teams in the field have formatted information about the help they’re providing, the tool quickly converts unstructured data into structured data. It corrects typos, extracts details and consolidates many worksheets into one clean file. SAP and OCHA tested “4W Wizard” in humanitarian missions across the Asia Pacific region, helping people in Nepal, Papua New Guinea, Vietnam, and Cambodia, as well as recent crises in the Philippines, Turkey, and South Sudan.",Humanitarian aid,Disaster relief logistic/resource allocation ,production,recovery,"Machine learning, Artificial Intelligence",Various,Global,Global,"Relief.iO, SAP",UN OCHA,Text Data,SDG 3,2018,https://medium.com/sap-innovation-spotlight/for-united-nations-ai-is-a-magical-tool-for-faster-disaster-relief-3b1cb505748d ,https://miro.medium.com/max/1400/1*PKFo6K2d4wW5qX3hj0e_8g.jpeg
28,Finding Water in the Driest Places,"The most sustainable groundwater is very deep. To locate it and then to drill and extract it is a major challenge. Since 2017, UNICEF has collaborated with the European Union Joint Research Centre (EU-JRC) to develop this new way of mapping groundwater using geospatial imagery and data. A data-driven approach is used to help find groundwater before drilling. The project has already been successfully piloted in Ethiopia and Madagascar. Drilling success rates increased from 50% to 92%. ",Clean water,Disaster relief logistic/resource allocation ,production,mitigation ,"Web mapping, Geographical Information Systems, Remote sensing",Droughts,Africa,"Ethiopia, Madagascar",European Union Joint Research Centre (EU-JRC),UNICEF ,Spatial Data,SDG 6,2021,https://www.unicef.org/innovation/stories/finding-water-driest-places ,https://www.unicef.org/innovation/sites/unicef.org.innovation/files/styles/hero_desktop/public/UN0469332.JPG?itok=kVidUCkh
29,Floods in Sudan - Space-based Flood Monitoring to Support Disaster Risk Management,"Floods lead to the highest number of people affected compared to other disasters as they affect human activities and the economy. Sudan was affected due to large floods partly caused by torrential rainfall in the Ethiopian Highlands. In the case of the Sudanese flood event, a timely response is needed for stakeholders to assess the situation. High resolution monitoring helps to identify areas at risk and information on the people and cropland. Geospatial analysis was conducted based on the identified floods areas. ","Disaster Risk Management, EWS",Disaster detection ,production,preparedness,"Web mapping, Geographical Information Systems, Remote sensing",Floods,Africa,Sudan,Ministry of Agriculture and Natural Resources of Sudan,UNOOSA (The United Nations Office for Outer Space Affairs),Spatial Data,"SDG 1, SDG 2, SDG 13, SDG 15",2020,https://www.space4water.org/news/floods-sudan-space-based-flood-monitoring-support-disaster-risk-management ,https://www.space4water.org/s4w/web/sites/default/files/inline-images/MainImage_PleiadesbyCNES160820.jpg
30,Floods in Sudan - Space-based Flood Monitoring to Support Disaster Risk Management,"Floods lead to the highest number of people affected compared to other disasters as they affect human activities and the economy. Sudan was affected due to large floods partly caused by torrential rainfall in the Ethiopian Highlands. In the case of the Sudanese flood event, a timely response is needed for stakeholders to assess the situation. High resolution monitoring helps to identify areas at risk and information on the people and cropland. Geospatial analysis was conducted based on the identified floods areas. ","Disaster Risk Management, EWS",Disaster detection ,production,recovery,"Web mapping, Geographical Information Systems, Remote sensing",Floods,Africa,Sudan,Ministry of Agriculture and Natural Resources of Sudan,UNOOSA (The United Nations Office for Outer Space Affairs),Spatial Data,"SDG 1, SDG 2, SDG 13, SDG 15",2020,https://www.space4water.org/news/floods-sudan-space-based-flood-monitoring-support-disaster-risk-management ,https://www.space4water.org/s4w/web/sites/default/files/inline-images/MainImage_PleiadesbyCNES160820.jpg
31,Floods in Sudan - Space-based Flood Monitoring to Support Disaster Risk Management,"Floods lead to the highest number of people affected compared to other disasters as they affect human activities and the economy. Sudan was affected due to large floods partly caused by torrential rainfall in the Ethiopian Highlands. In the case of the Sudanese flood event, a timely response is needed for stakeholders to assess the situation. High resolution monitoring helps to identify areas at risk and information on the people and cropland. Geospatial analysis was conducted based on the identified floods areas. ","Disaster Risk Management, EWS",Disaster detection ,production,response,"Web mapping, Geographical Information Systems, Remote sensing",Floods,Africa,Sudan,Ministry of Agriculture and Natural Resources of Sudan,UNOOSA (The United Nations Office for Outer Space Affairs),Spatial Data,"SDG 1, SDG 2, SDG 13, SDG 15",2020,https://www.space4water.org/news/floods-sudan-space-based-flood-monitoring-support-disaster-risk-management ,https://www.space4water.org/s4w/web/sites/default/files/inline-images/MainImage_PleiadesbyCNES160820.jpg
