,Ideas/Concepts/Examples,Description,Theme,Use Case,Status/Maturity,Disaster Cycle,Technology,Disaster Type,Country of Implementation,Supporting Partners,Un Host Organisation,Data,SDG,Date of Implementation,Source
10,Chatbot technologies for Improved Access to Public Services,"AI-based chatboat assists Georgian businesses and the more than 125,000 residents of Rustavi by keeping them informed about city services, new regulations, and steps to take to cope with coronavirus challenges without leaving their homes.",Local governance,To be fillled,prototype,preparedness,Social media,To be fillled,Georgia,"Rustavi Innovations Hub, Rustavi Municipality",UNDP Georgia,"Official information, regulations and others",SDG 9,2009,https://eu4georgia.ge/c-bot-chatbot-with-ai-keeps-georgian-business-informed-during-pandemic/
11,Internet of Things for UNDP fleet management,"UNDP operates in about 170 countries with more than 17,000 staff members and employees. Moving the people best suited to tackle each challenge requires a sizable fleet. UNDP employs roughly 3,000 vehicles including trucks, cars, vans, and even armored vehicles. This resource presents difficulties of its own, such as safety, security, and efficiency.  IoT powered fleet management system uses telemetry readings fromenabled devices to help the organization track its fleet’s location, driver behavior, speed, and vehicle health, in real time. With the new insight into the location of vehicles and the behavior of drivers, UNDP is advancing safety and security in host countries around the world. ",Improved organizational efficiency and staff security,To be fillled,prototype,preparedness,Internet of Things,To be fillled,"Georgia, Moldova, Kyrgyzstan, and Cambodia","Microsoft, Quest Global",UNDP,"Location, drivers behavior, speed, vehicle health and others",SDG 10,2001,https://www.undp.org/content/undp/en/home/news-centre/announcements/2020/Driving_innovation_in_fleet_management_through_Internet_of_Things.html
12,Internet of Things for Urban Agriculture,"High-density cities face the challenge of food security given little areas suitable for growing food but urban farms also have the challenges such as the incursion of pest and disease in agriculture. The project (finalist of Hackathon) provides a  solution of integrated farm health management tool that leverages machine learning and IoT to improve the yield and quality of crops from urban farms in high-density cities. The system collects the information on the plants health and its environment, which allows farmers to manage pests and diseases better.",Agriculture,To be fillled,prototype,response,Internet of Things,To be fillled,Singapore,Microsoft Asia Pacific,"Singapore Global Center for Technology, Innovation and Sustainable Development",Plants health and environment,SDG 12,2003,https://sgtechcentre.undp.org/content/sgtechcentre/en/home/blogs/microsoft-azure-hackathon-with-undp-and-grab-press-release.html
13,AI-enabled COVID-19 Impact Assessments,"UNDP’s China Country Office published a report to assess the impact of the COVID-19 pandemic on POEs and SMEs and their ability to implement the Sustainable Development Goals (SDGs). All findings are based on nearly real-time evidence, constituting a meta-analysis of over 78,000 SMEs and large POEs. The AI Lab at WeBank conducted analysis on the economic recovery of SMEs utilizing satellite imagery, GPS data, social media analysis, and their AI platform. UNDP China worked closely with the lab to integrate the WeBank analysis in UNDP’s assessments and into UNDP’s report.",Situational Awareness,To be fillled,prototype,mitigation,Remote Sensing,To be fillled,China,Multiple SMEs,UNDP China CO,"satellite imagery, GPS data, social media analysis, and their AI platform",SDG 9,2019,https://www.cn.undp.org/content/china/en/home/library/crisis_prevention_and_recovery/assessment-report-on-impact-of-covid-19-pandemic-on-chinese-ente.html
14,Ecuador: Mitigating Deforestation through Sustainable Cattle Raising,"In 2017, a coalition of stakeholders including UNDP and the Ecuadorian Ministries of Environment and Agriculture launched the PROAmazonia initiative, an ambitious, five-year project that aims to transform the agriculture and forestry sectors in the Amazon region. Part of this ambition is to reduce CO2 emissions by mitigating deforestation in the Ecuadorian Amazon through the promotion of sustainable land-use that does not require cutting down additional forest for local agriculture. Our DPPD team members from GIZ Ecuador are working with the Ecuadorian Ministry of Environment and Water to implement its national bioeconomy strategy for the protection and sustainable use of biodiversity by developing socially, economically, and ecologically sustainable solutions.

Agricultural practices are one of the main causes of deforestation in the Ecuadorian Amazon. 99% of deforested areas are transformed into agricultural fields, and 64.9% of these are used as grassland for livestock.development challenges they face.",Agriculture,To be fillled,prototype,mitigation,Remote Sensing,To be fillled,Ecuador,"GIZ Data Lab, University of Manchester; UNDP Accelerator Labs and GIZ projects in Ecuador, Mexico, Niger, and Somalia/ Somaliland,",UNDP Accelerator Lab Ecuador,"Using additional sources of climate, socio-economic, and ethnographic data, the team will then investigate the contextual factors and characteristics that contribute to these farmers’ forest-friendly cattle raising practices.",SDG 15,2006,https://medium.com/@acclabs/positive-deviance-positive-outliers-matter-a323f7f5b13e
15,Data Visualization for Household and Building Damage Assessment,"UNDP has developed a toolkit to support authorities in crisis-affected countries around the world, to assess residential and non-residential infrastructure and collect timely data to inform decisions. The toolkit will also inform prioritization for risk-informed rehabilitation and rebuilding.",Disaster Risk Management ,To be fillled,production,recovery,Geographical Information Systems,To be fillled,Global,"UNDP Crisis Bureau, ",UNDP,GIS Data,SDG 9,2017,https://www.undp.org/content/buildingdamageassessment/en/home.html
16,Drones for Social Good (In relation to climate adaptation and disaster risk reduction),"Climate change and its consequences are becoming more evident. Erosion, tsunami hazard, and rising sea levels threaten the Maldives. UNDP and the Government of Maldives used drones for creating risk maps which provide essential data required to inform emergency response plans in case of disasters. ",Disaster Risk Management,To be fillled,production,preparedness,Drones,To be fillled,Maldives,"DJI (the leading drone company from China), Maldives National Disaster Management Centre, the Maldives National Defence Force",UNDP Maldives,GIS Data,SDG 13,2017,https://stories.undp.org/drones-for-social-good
17,Multi Hazard EWS,"The report firstly mentioned theoretical tools to understand the legal and institutional framework needed for the early warning process. In the second part of the report, a catalog of practical solutions and five intervention areas are mentioned. Five intervention areas are: 

1. Institutions, regulations, and capacity development, 2. Technological solutions, 3. Community outreach and community-based solutions, 4. Private sector engagement, 5. International Co-operation and Data-sharing. ","Disaster Risk Management , EWS",To be fillled,production,preparedness,"GIS, Data Collection and Analysis, web mapping",To be fillled,Multiple countries,UNDP country offices,UNDP Serbia,GIS Data,SDG 13,2018,https://www.eurasia.undp.org/content/rbec/en/home/library/environment_energy/five-approaches-to-build-functional-early-warning-systems.html
18,Data Visualization of COVID-19's Impact on Food Supply Chains,,"Disaster Risk Management , EWS",To be fillled,validation,preparedness,Data collection,To be fillled,Zimbabwe,UNDP,UNDP,Data analysis ,No information,2021,https://www.youtube.com/watch?v=j93sng3fVaQ
19,Community Safari©: A quest to find nature-based solutions for local communities,"A Community Safari is a two-day adventure that brings together the members of a community to collectively identify, discuss and test ideas to solve challenges and coordinate follow-up actions, using nature-based solutions. That is – innovative solutions based on the way natural ecosystems function.",nature-based solutions,To be fillled,idea,mitigation,Data collection,To be fillled,Ukraine,UNDP,UNDP Ukraine,"Data Innovation (incl Big Data, Satellite Imagery, Remote Sensing)",SDG 13,2020,https://www.ua.undp.org/content/ukraine/en/home/accelerator-labs/community-safary.html
20,UN Pilot In Mongolia Uses Blockchain To Help Farmers Deliver Sustainable Cashmere,"Grazing lands are rapidly degrading, threatening the viability of the entire cashmere industry. The quality of cashmere is decreasing in Mongolia, due in part to climate change. Blockchain technology is used to interact with herders and cooperatives to help sustainable supply chain tracking. ",Agriculture,To be fillled,production,mitigation,Blockchain,To be fillled,Mongolia,"Covergence.tech, ",UNDP,"RFID (Radio-frequency identification) tags, data obtained from the herders and cooperatives. ",SDG 12,2019,https://www.forbes.com/sites/rogerhuang/2019/12/28/un-pilot-in-mongolia-uses-blockchain-to-help-farmers-deliver-sustainable-cashmere/?sh=3cd43e6217d9
21,Red Cross Implements Crypto To Boost Disaster-Prone Communities,"The Red Cross societies of Norway, Denmark and Kenya launched a two-year effort to help solve this lack of hard cash by deploying blockchain-backed “local currencies” to smooth trade in communities and spur economic activity.",Humanitarian aid,To be fillled,production,response,Blockchain,To be fillled,Kenya and Ethiopia,"Grassroots Economics,Red Cross societies of Norway, Denmark ",-,"number of users, blockchain-backed currency credit and savings data",SDG 2,2019,https://www.forbes.com/sites/darrynpollock/2019/11/28/red-cross-implements-crypto-to-boost-disaster-prone-communities/?sh=2d7696cb48e2
22,Blockchain Records for Refugees,"World Bank estimates that 1/6 of the world’s population cannot legally prove their identity. These are not only refugees but also large swaths of the poor. The only solution to the problem of lack of documentation is preventative: governments, educational institutions, companies, and other organizations worldwide must begin issuing official records in a format that is permanent, portable, easily recoverable, and individual-owned — long before a catastrophe occurs. Governments, international organizations, NGOs, etc. should ensure that refugees from future disasters have reliable, portable documentation is to begin issuing official records to the blockchain.","Situational awareness, Improved organizational efficiency",To be fillled,production,recovery,Blockchain,To be fillled,"Global with focus in Syria, the Central African Republic, the Sudan, and other conflict areas.","World Bank’s ID4D, UNHCR",UN (UN ID2020),"name, date and place of birth, education records, current address",SDG 16,2017,https://medium.com/learning-machine-blog/blockchain-records-for-refugees-bd27ad6e6da1
23,Forecasting asylum-related migration flows with machine learning and data at scale,Information is presented on an adaptive machine learning algorithm that broadly integrates administrative statistics and non-traditional data sources to effectively predict asylum-related migration flows. The project focus on asylum applications lodged in countries of the European Union (EU) by nationals of all countries of origin worldwide. The project aims is to increase the preparedness of EU Member States for sudden increases in asylum applications in order to process them quickly and fairly; while also foreseeing proper reception conditions in line with EU law.,Humanitarian aid,To be fillled,validation,preparedness,"Machine Learning, Big Data",To be fillled,EU member countries,"European Union Agency for Asylum (EUAA), the European Commission (Joint Research Centre) and University of Catania",-,"mobile data, social media, internet searches,  data on asylum applications",SDG 10,2022,https://reliefweb.int/report/world/forecasting-asylum-related-migration-flows-machine-learning-and-data-scale
24,"The application framework of big data technology in the COVID-19 epidemic emergency management in local government—a case study of Hainan Province, China","COVID-19 spreaded globally, traditional emergency management measures faced many practical limitations. In China the application of big data analysis technology provides an opportunity for local governments to conduct the COVID-19 epidemic emergency management more scientifically. China-Hainan Province adopted big data technology during the four stages, i.e., migration, preparedness, response, and recovery, of its COVID-19 epidemic emergency management. The project demonstrated that the roles, governance networks and mechanisms used by the legislative branch, government agencies and social organizations of Hainan Province and verified the feasibility and value of the application framework of big data technology to support their collective response to the COVID-19 epidemic.",Health,To be fillled,production,preparedness,"Big data, Internet of Things",To be fillled,China,The National Disaster Reduction Center of China (NDRCC),-,"GPS data of cars and Mobile phone signalling, Resident tracking information, Confirmed cases information, Information on high-risk groups and close contacts, Hospital fever information",SDG 3,2021,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-12065-0
25,"For United Nations, AI Is Magical Tool For Faster Disaster Relief","This social-impact program ""4W-Wizard"" was designed to speed up disaster management efforts. The program instantly categorizes and classify huge datasets. Regardless of how NGOs and other relief teams in the field have formatted information about the help they’re providing, the tool quickly converts unstructured data into structured data. It corrects typos, extracts details and consolidates many worksheets into one clean file. SAP and OCHA tested “4W Wizard” in humanitarian missions across the Asia Pacific region, helping people in Nepal, Papua New Guinea, Vietnam, and Cambodia, as well as recent crises in the Philippines, Turkey, and South Sudan.",Humanitarian aid,To be fillled,production,recovery,"Machine learning, AI",To be fillled,Global,SAP (System Analysis Program Development),UN OCHA,field data,SDG 3,2018,https://medium.com/sap-innovation-spotlight/for-united-nations-ai-is-a-magical-tool-for-faster-disaster-relief-3b1cb505748d 
26,Finding Water in the Driest Places,"The most sustainable groundwater is very deep. To locate it and then to drill and extract it is a major challenge. Since 2017, UNICEF has collaborated with the European Union Joint Research Centre (EU-JRC) to develop this new way of mapping groundwater using geospatial imagery and data. A data-driven approach is used to help find groundwater before drilling. The project has already been successfully piloted in Ethiopia and Madagascar. Drilling success rates increased from 50% to 92%. ",clean water,To be fillled,production,mitigation,web mapping,To be fillled,"Ethiopia, Madagascar",European Union Joint Research Centre (EU-JRC),UNICEF ,geospatial imagery data,SDG 6,2021,https://www.unicef.org/innovation/stories/finding-water-driest-places 
27,Floods in Sudan - Space-based Flood Monitoring to Support Disaster Risk Management,"Floods lead to the highest number of people affected compared to other disasters as they affect human activities and the economy. Sudan was affected due to large floods partly caused by torrential rainfall in the Ethiopian Highlands. In the case of the Sudanese flood event, a timely response is needed for stakeholders to assess the situation. High resolution monitoring helps to identify areas at risk and information on the people and cropland. Geospatial analysis was conducted based on the identified floods areas. ","Disaster Risk Management, EWS",To be fillled,production,mitigation,"Web mapping, Geographical Information Systems,Remote sensing",To be fillled,Sudan,Ministry of Agriculture and Natural Resources of Sudan,UNOOSA (The United Nations Office for Outer Space Affairs),"Satellite data, Remote sensing imagery: optical (passive) and radar (active) sensors.","SDG 1, 2, 13, 15",2020,https://www.space4water.org/news/floods-sudan-space-based-flood-monitoring-support-disaster-risk-management 
